TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Balance_Binned,Age_Binned,Target
139.03,Credit,Los Angeles,Online,50.0,Engineer,81.0,1.0,2276.57,50.0-59.0,0,0,0
254.92,Credit,San Antonio,ATM,28.0,Engineer,169.0,1.0,2791.12,20.0-29.0,0,1,1
115.11,Debit,Albuquerque,Online,28.0,Engineer,139.0,1.0,9808.97,20.0-29.0,1,1,2
171.11,Debit,San Francisco,ATM,57.0,Retired,171.0,1.0,6324.09,50.0-59.0,1,0,1
168.54,Debit,Oklahoma City,ATM,70.0,Doctor,142.0,2.0,13406.0,70.0-79.0,2,2,0
408.46,Debit,Raleigh,Branch,64.0,Retired,28.0,1.0,3140.79,60.0-69.0,0,2,1
1162.42,Credit,Detroit,Online,30.0,Doctor,45.0,1.0,10357.26,30.0-39.0,2,1,2
342.17,Credit,New York,Branch,21.0,Student,247.0,1.0,461.83,20.0-29.0,0,1,0
580.71,Debit,Philadelphia,ATM,53.0,Engineer,95.0,1.0,5670.0,50.0-59.0,1,0,1
821.54,Credit,Atlanta,Branch,79.0,Retired,36.0,1.0,4040.3199999999997,70.0-79.0,0,2,2
253.47,Debit,Atlanta,Branch,20.0,Student,238.0,1.0,220.51,20.0-29.0,0,1,2
22.81,Debit,New York,Online,62.0,Retired,75.0,1.0,3634.76,60.0-69.0,0,2,0
266.57,Credit,Boston,Online,39.0,Engineer,96.0,1.0,7180.48,30.0-39.0,1,0,2
374.61,Credit,Mesa,Online,75.0,Retired,37.0,1.0,1389.71,70.0-79.0,0,2,0
339.35,Credit,Boston,ATM,78.0,Retired,70.0,1.0,5002.7,70.0-79.0,0,2,2
810.36,Debit,Columbus,ATM,20.0,Student,67.0,1.0,9239.12,20.0-29.0,1,1,2
9.83,Debit,Memphis,ATM,24.0,Student,86.0,1.0,666.42,20.0-29.0,0,1,0
135.57,Credit,Boston,Branch,51.0,Doctor,116.00000000000001,1.0,11351.64,50.0-59.0,2,0,2
340.05,Debit,Detroit,ATM,43.0,Engineer,37.0,1.0,7234.15,40.0-49.0,1,0,2
283.45,Debit,Colorado Springs,Branch,27.0,Engineer,127.0,1.0,2049.51,20.0-29.0,0,1,2
100.99,Debit,New York,ATM,68.0,Doctor,114.0,1.0,8865.27,60.0-69.0,1,2,0
90.88,Debit,Albuquerque,Branch,18.0,Student,176.0,1.0,3908.4700000000003,10.0-19.0,0,1,2
655.15,Debit,Seattle,ATM,26.0,Engineer,264.0,1.0,5587.44,20.0-29.0,1,1,1
320.55,Debit,Milwaukee,Online,50.0,Engineer,118.0,1.0,438.75,50.0-59.0,0,0,0
41.51,Debit,Phoenix,Online,28.0,Student,48.0,1.0,609.5999999999999,20.0-29.0,0,1,1
71.53,Credit,Jacksonville,Branch,68.0,Retired,39.0,1.0,2393.73,60.0-69.0,0,2,0
467.13,Credit,Kansas City,Branch,54.0,Retired,45.0,1.0,3914.84,50.0-59.0,0,0,0
235.4,Debit,Detroit,Branch,28.0,Student,70.0,1.0,818.3599999999999,20.0-29.0,0,1,2
159.32,Debit,Seattle,Branch,18.0,Student,100.00000000000001,1.0,304.44,10.0-19.0,0,1,1
50.83,Credit,Philadelphia,Online,30.0,Doctor,48.0,1.0,9553.42,30.0-39.0,1,1,1
56.89,Credit,Houston,Branch,59.0,Engineer,56.0,1.0,3034.67,50.0-59.0,0,2,0
20.22,Debit,Jacksonville,ATM,43.0,Engineer,138.0,1.0,5515.32,40.0-49.0,1,0,0
50.4,Debit,San Antonio,Branch,36.0,Doctor,84.00000000000001,1.0,1677.01,30.0-39.0,0,1,1
73.88,Debit,Los Angeles,Branch,53.0,Retired,131.0,1.0,4055.55,50.0-59.0,0,0,0
119.61,Debit,San Diego,ATM,33.0,Doctor,53.00000000000001,1.0,9899.94,30.0-39.0,1,1,1
1241.05,Debit,Miami,Branch,18.0,Student,129.0,1.0,756.74,10.0-19.0,0,1,0
116.58,Debit,Raleigh,Branch,43.0,Engineer,247.0,1.0,2620.74,40.0-49.0,0,0,1
1919.1100000000001,Debit,Portland,ATM,30.0,Doctor,161.0,1.0,11090.24,30.0-39.0,2,1,1
391.96,Debit,nan,ATM,64.0,Retired,79.0,1.0,2174.16,60.0-69.0,0,2,1
156.26,Credit,Virginia Beach,Branch,46.0,Engineer,160.0,1.0,7854.100000000001,40.0-49.0,1,0,1
427.0,Credit,Oklahoma City,Branch,49.0,Engineer,163.0,1.0,8253.65,40.0-49.0,1,0,0
443.68,Debit,Tucson,nan,18.0,Student,137.0,1.0,874.1499999999999,10.0-19.0,0,1,1
101.76,nan,Philadelphia,nan,31.0,Doctor,26.0,1.0,6043.25,30.0-39.0,1,1,1
67.57,Debit,Charlotte,Branch,37.0,Engineer,107.0,1.0,2766.12,30.0-39.0,0,0,2
326.29,Debit,Denver,Online,56.0,Engineer,179.0,1.0,8171.259999999999,50.0-59.0,1,0,2
158.56,Debit,Sacramento,ATM,33.0,Doctor,100.00000000000001,1.0,5401.21,30.0-39.0,1,1,1
56.02,Debit,Memphis,Online,27.0,Student,142.0,1.0,3548.02,20.0-29.0,0,1,0
288.28,nan,Portland,Online,27.0,Student,36.0,1.0,160.83,20.0-29.0,0,1,1
245.67,Credit,Portland,Branch,24.0,Student,107.0,1.0,752.2499999999999,20.0-29.0,0,1,1
152.18,Credit,Los Angeles,Online,39.0,Engineer,176.0,4.0,2459.84,30.0-39.0,0,0,0
114.35,Credit,El Paso,Branch,41.0,Engineer,21.000000000000004,1.0,469.12,40.0-49.0,0,0,2
373.27,Credit,Miami,Online,61.0,Doctor,79.0,1.0,8441.61,60.0-69.0,1,2,0
504.63000000000005,Debit,Portland,Online,60.0,Engineer,168.00000000000003,1.0,3806.16,60.0-69.0,0,2,1
126.22,Debit,Atlanta,ATM,46.0,Engineer,77.0,4.0,6133.41,40.0-49.0,1,0,2
820.15,Debit,Kansas City,Branch,47.0,Doctor,181.0,1.0,8802.97,40.0-49.0,1,0,0
986.8099999999998,Credit,Houston,Online,68.0,Doctor,127.0,1.0,14881.77,60.0-69.0,2,2,0
8.37,Debit,Colorado Springs,ATM,63.0,Retired,135.0,1.0,1106.34,60.0-69.0,0,2,2
197.49,Credit,Fresno,Online,53.0,Retired,30.0,1.0,5005.33,50.0-59.0,0,0,0
637.97,Debit,New York,Branch,58.0,Retired,90.0,1.0,7949.03,50.0-59.0,1,0,0
13.52,Debit,Seattle,ATM,26.0,Student,65.0,1.0,259.77,20.0-29.0,0,1,1
432.1,Debit,San Francisco,ATM,49.0,Engineer,240.0,1.0,2114.3,40.0-49.0,0,0,1
375.17,Debit,Fort Worth,ATM,51.0,Engineer,66.0,2.0,5495.3,50.0-59.0,1,0,2
642.68,Debit,Fresno,Branch,50.0,Doctor,94.0,1.0,8461.46,50.0-59.0,1,0,0
78.44,Credit,San Jose,Online,52.0,Retired,292.0,1.0,6870.84,50.0-59.0,1,0,1
139.72,Debit,Memphis,Branch,49.0,Engineer,201.0,1.0,5058.83,40.0-49.0,1,0,0
499.99,Debit,San Jose,Branch,31.0,Engineer,296.0,1.0,8885.0,30.0-39.0,1,1,1
10.07,Debit,Albuquerque,Online,24.0,Student,49.0,1.0,530.81,20.0-29.0,0,1,2
120.61999999999999,Debit,Raleigh,ATM,23.0,Student,85.0,1.0,9379.53,20.0-29.0,1,1,1
578.49,Debit,Nashville,Branch,59.0,Retired,180.0,1.0,6475.13,50.0-59.0,1,2,0
119.3,Debit,Mesa,Branch,34.0,Engineer,22.0,5.0,319.04,30.0-39.0,0,1,0
280.92,Debit,Phoenix,Online,41.0,Doctor,168.00000000000003,1.0,5298.85,40.0-49.0,1,0,1
42.42,Debit,Sacramento,Online,21.0,Student,102.0,1.0,490.57,20.0-29.0,0,1,1
77.03,Debit,Fresno,ATM,67.0,Doctor,259.0,1.0,11310.27,60.0-69.0,2,2,0
22.59,Debit,Seattle,ATM,62.0,Retired,45.0,1.0,3988.75,60.0-69.0,0,2,1
568.76,Debit,Baltimore,ATM,51.0,Retired,155.0,1.0,7484.319999999999,50.0-59.0,1,0,2
25.94,Credit,San Jose,Online,58.0,Retired,211.0,5.0,4815.11,50.0-59.0,0,0,1
105.94,Debit,Oklahoma City,Branch,51.0,Engineer,207.0,1.0,5963.1,50.0-59.0,1,0,0
733.29,Debit,Virginia Beach,ATM,52.0,Doctor,94.0,5.0,10427.0,50.0-59.0,2,0,1
350.15,Credit,Fresno,ATM,21.0,Student,195.0,1.0,296.47,20.0-29.0,0,1,0
1151.18,Debit,Kansas City,ATM,65.0,Doctor,105.0,1.0,1100.06,60.0-69.0,0,2,0
183.67,Debit,San Diego,Online,19.0,Student,238.0,1.0,910.26,10.0-19.0,0,1,1
278.27,Debit,Tucson,Branch,29.0,Doctor,123.0,1.0,6684.34,20.0-29.0,1,1,1
470.3,Debit,Austin,ATM,40.0,Doctor,88.0,1.0,8524.09,40.0-49.0,1,0,2
261.69,Debit,Philadelphia,ATM,53.0,Retired,84.00000000000001,1.0,5126.65,50.0-59.0,1,0,1
365.04,Debit,Virginia Beach,Branch,22.0,Student,94.0,1.0,873.8899999999999,20.0-29.0,0,1,1
211.1,Debit,Miami,Branch,57.0,Retired,136.0,1.0,7059.77,50.0-59.0,1,0,0
21.49,Debit,Denver,ATM,58.0,Doctor,240.0,1.0,11991.24,50.0-59.0,2,0,2
63.58,Debit,Columbus,ATM,18.0,Student,199.0,1.0,8086.040000000001,10.0-19.0,1,1,2
321.86,Debit,San Antonio,ATM,63.0,Doctor,167.0,1.0,12626.49,60.0-69.0,2,2,1
12.11,Debit,Jacksonville,nan,75.0,Retired,127.0,1.0,1730.28,70.0-79.0,0,2,0
642.54,Debit,Milwaukee,Branch,44.0,Engineer,28.0,1.0,3143.17,40.0-49.0,0,0,0
210.45,Debit,Las Vegas,ATM,27.0,Student,146.0,1.0,1242.49,20.0-29.0,0,1,0
313.65,Credit,Chicago,Branch,55.0,Retired,173.0,1.0,1886.36,50.0-59.0,0,0,2
99.76,Debit,Sacramento,Branch,26.0,Student,131.0,1.0,416.89,20.0-29.0,0,1,1
115.32,Debit,Denver,Branch,53.0,Retired,113.0,1.0,5929.08,50.0-59.0,1,0,2
33.61,Debit,Milwaukee,Online,23.0,Student,72.0,1.0,479.08,20.0-29.0,0,1,0
498.59,Credit,Oklahoma City,Online,33.0,Doctor,32.0,1.0,5862.99,30.0-39.0,1,1,0
98.81,Debit,San Francisco,Branch,27.0,Student,91.0,1.0,797.1,20.0-29.0,0,1,1
1.8700000000000003,Debit,Washington,ATM,65.0,Retired,147.0,1.0,7287.94,60.0-69.0,1,2,1
78.92,Credit,Jacksonville,Online,59.0,Engineer,95.0,1.0,5624.86,50.0-59.0,1,2,0
194.29,Credit,Seattle,Branch,39.0,Engineer,10.0,1.0,2988.41,30.0-39.0,0,0,1
28.73,Debit,Kansas City,ATM,53.0,Engineer,185.0,1.0,2712.96,50.0-59.0,0,0,0
105.53,Debit,Colorado Springs,Online,24.0,Student,88.0,1.0,1433.66,20.0-29.0,0,1,2
737.34,Debit,Miami,Online,30.0,Doctor,34.0,1.0,7336.56,30.0-39.0,1,1,0
237.86,Debit,Philadelphia,ATM,18.0,Student,210.0,1.0,475.62999999999994,10.0-19.0,0,1,1
409.61,Debit,Kansas City,Branch,65.0,Doctor,89.0,1.0,11698.15,60.0-69.0,2,2,0
75.53,Credit,Fresno,Online,21.0,Student,157.0,1.0,1034.35,20.0-29.0,0,1,0
72.75,Debit,Phoenix,ATM,64.0,Doctor,15.0,1.0,12042.79,60.0-69.0,2,2,1
39.11,Debit,Columbus,Online,26.0,Student,143.0,1.0,518.54,20.0-29.0,0,1,2
1309.79,Debit,San Francisco,ATM,23.0,Student,139.0,1.0,1258.93,20.0-29.0,0,1,1
729.38,Debit,Los Angeles,ATM,68.0,Doctor,90.0,1.0,9127.65,60.0-69.0,1,2,0
137.49,Debit,Fort Worth,ATM,34.0,Engineer,50.00000000000001,1.0,4471.05,30.0-39.0,0,1,2
504.71,Debit,Detroit,Online,29.0,Engineer,61.00000000000001,1.0,6214.54,20.0-29.0,1,1,2
371.47,Credit,Milwaukee,Branch,24.0,Student,58.00000000000001,1.0,1187.04,20.0-29.0,0,1,0
430.35,Debit,Charlotte,Online,36.0,Doctor,205.0,1.0,354.9,30.0-39.0,0,1,2
230.32,Debit,Las Vegas,Branch,35.0,Engineer,56.0,1.0,791.46,30.0-39.0,0,1,0
121.71,Debit,Chicago,ATM,52.0,Retired,140.0,1.0,5878.89,50.0-59.0,1,0,2
98.87,Debit,Detroit,Online,20.0,Student,179.0,1.0,533.2,20.0-29.0,0,1,2
117.55,Debit,Fresno,ATM,24.0,Student,35.0,1.0,897.94,20.0-29.0,0,1,0
244.64,Debit,Tucson,Branch,30.0,Doctor,103.0,1.0,9159.56,30.0-39.0,1,1,1
321.93,Debit,Nashville,ATM,45.0,Engineer,12.0,1.0,4392.73,40.0-49.0,0,0,0
1092.73,Debit,Columbus,Branch,58.0,Retired,11.0,1.0,1390.98,50.0-59.0,0,0,2
283.23,Debit,El Paso,Online,40.0,Engineer,98.0,1.0,2008.7700000000002,40.0-49.0,0,0,2
346.65,Debit,Washington,Online,30.0,Engineer,60.00000000000001,1.0,6356.96,30.0-39.0,1,1,1
381.62,Debit,Las Vegas,Online,64.0,Retired,164.0,1.0,6009.12,60.0-69.0,1,2,0
388.65,Debit,Oklahoma City,ATM,76.0,Retired,43.0,1.0,7896.850000000001,70.0-79.0,1,2,0
29.22,Debit,San Antonio,ATM,24.0,Student,151.0,1.0,1649.43,20.0-29.0,0,1,1
46.75,Debit,Colorado Springs,Branch,67.0,Retired,150.0,1.0,2840.43,60.0-69.0,0,2,2
348.64,Debit,San Jose,Online,57.0,Retired,128.0,1.0,3274.96,50.0-59.0,0,0,1
319.17,Debit,Tucson,Online,73.0,Retired,81.0,1.0,6501.56,70.0-79.0,1,2,1
73.95,Debit,Kansas City,ATM,26.0,Student,75.99999999999999,1.0,363.92,20.0-29.0,0,1,0
389.63,Debit,Mesa,Online,27.0,Engineer,99.0,1.0,9748.48,20.0-29.0,1,1,0
217.61,Debit,Chicago,ATM,19.0,Student,45.0,1.0,1404.53,10.0-19.0,0,1,2
199.84,Debit,Dallas,ATM,21.0,Student,150.0,1.0,706.44,20.0-29.0,0,1,2
56.35,Debit,Charlotte,ATM,44.0,Doctor,75.0,1.0,5095.73,40.0-49.0,1,0,2
248.95000000000002,Credit,San Francisco,Branch,65.0,Retired,29.000000000000004,1.0,3059.79,60.0-69.0,0,2,1
142.58,Debit,San Antonio,ATM,33.0,Engineer,145.0,1.0,7844.23,30.0-39.0,1,1,1
1020.7299999999999,Debit,Fort Worth,ATM,28.0,Student,87.0,1.0,1119.61,20.0-29.0,0,1,2
84.34,Debit,Memphis,Online,58.0,Retired,247.99999999999997,3.0,5313.97,50.0-59.0,1,0,0
1607.55,Debit,Phoenix,ATM,31.0,Engineer,156.0,1.0,6227.99,30.0-39.0,1,1,1
333.78,Debit,San Diego,ATM,60.0,Retired,98.0,1.0,6810.94,60.0-69.0,1,2,1
332.59,Debit,San Antonio,Online,55.0,Retired,143.0,1.0,1457.07,50.0-59.0,0,0,1
236.81,Debit,Oklahoma City,Branch,22.0,Student,15.0,1.0,813.68,20.0-29.0,0,1,0
417.8,Credit,Philadelphia,Branch,27.0,Student,130.0,1.0,1518.82,20.0-29.0,0,1,1
319.27,Debit,San Antonio,ATM,50.0,Doctor,150.0,1.0,10269.78,50.0-59.0,2,0,1
384.1,Debit,Detroit,Branch,42.0,Engineer,172.0,1.0,672.7899999999998,40.0-49.0,0,0,2
820.62,Credit,Fresno,Branch,61.0,Doctor,158.0,1.0,6024.8,60.0-69.0,1,2,0
474.77,Credit,Indianapolis,Online,56.0,Engineer,50.00000000000001,1.0,2158.59,50.0-59.0,0,0,0
542.72,Credit,Indianapolis,Branch,43.0,Doctor,91.99999999999999,1.0,6011.8,40.0-49.0,1,0,0
79.8,Debit,Fort Worth,ATM,73.0,Retired,75.99999999999999,1.0,6372.58,70.0-79.0,1,2,2
46.24,Debit,San Diego,Branch,57.0,Engineer,52.00000000000001,1.0,2569.56,50.0-59.0,0,0,1
327.8,Debit,San Francisco,ATM,61.0,Doctor,53.99999999999999,1.0,10585.48,60.0-69.0,2,2,1
445.79,Debit,Las Vegas,ATM,52.0,Doctor,161.0,1.0,717.9899999999999,50.0-59.0,0,0,0
55.89,Debit,Fresno,Online,72.0,Retired,150.0,1.0,3689.65,70.0-79.0,0,2,0
158.41,Debit,Sacramento,Branch,28.0,Student,16.0,1.0,1512.16,20.0-29.0,0,1,1
101.19,Credit,Denver,Online,64.0,Doctor,75.0,1.0,14389.45,60.0-69.0,2,2,2
827.14,Debit,El Paso,Branch,36.0,Engineer,265.0,4.0,9800.21,30.0-39.0,1,1,2
61.970000000000006,Debit,Phoenix,ATM,74.0,Retired,95.0,1.0,7014.69,70.0-79.0,1,2,1
27.21,Debit,San Jose,ATM,79.0,Retired,102.0,1.0,3520.61,70.0-79.0,0,2,1
176.11,Debit,San Jose,Branch,38.0,Engineer,105.0,1.0,9155.35,30.0-39.0,1,0,1
88.4,Debit,Fort Worth,Online,46.0,Engineer,174.0,1.0,2567.53,40.0-49.0,0,0,2
567.92,Debit,Columbus,Online,53.0,Retired,14.0,1.0,3779.4699999999993,50.0-59.0,0,0,2
138.11,Credit,Phoenix,Online,68.0,Retired,104.0,1.0,4177.65,60.0-69.0,0,2,1
456.93,Credit,Virginia Beach,Branch,28.0,Engineer,193.0,1.0,7284.76,20.0-29.0,1,1,1
101.42,Debit,Atlanta,Online,66.0,Retired,146.0,1.0,6530.59,60.0-69.0,1,2,2
300.61,Debit,El Paso,Online,44.0,Doctor,51.00000000000001,1.0,7895.540000000001,40.0-49.0,1,0,2
265.94,Debit,Boston,Online,54.0,Engineer,132.0,1.0,6781.3,50.0-59.0,1,0,2
345.54,Debit,San Diego,Online,29.0,Engineer,50.00000000000001,1.0,2091.78,20.0-29.0,0,1,1
411.52,Debit,Los Angeles,ATM,41.0,Doctor,88.0,1.0,11108.39,40.0-49.0,2,0,0
111.21,Debit,Portland,Branch,35.0,Doctor,111.0,1.0,9088.36,30.0-39.0,1,1,1
316.37,Debit,Colorado Springs,ATM,53.0,Engineer,86.0,1.0,4671.69,50.0-59.0,0,0,2
260.63,Debit,Fort Worth,Branch,37.0,Engineer,142.0,1.0,7534.7300000000005,30.0-39.0,1,0,2
92.36,Debit,Dallas,ATM,29.0,Engineer,144.0,1.0,6353.14,20.0-29.0,1,1,2
262.06,Debit,Oklahoma City,Branch,63.0,Doctor,118.0,1.0,13587.52,60.0-69.0,2,2,0
64.5,Debit,Denver,ATM,74.0,Retired,230.0,1.0,1351.24,70.0-79.0,0,2,2
253.55,Debit,Jacksonville,ATM,28.0,Engineer,85.0,5.0,2797.26,20.0-29.0,0,1,0
175.94,Debit,Indianapolis,ATM,57.0,Retired,89.0,1.0,3728.0400000000004,50.0-59.0,0,0,0
199.47,Debit,Detroit,Online,57.0,Doctor,142.0,1.0,6067.44,50.0-59.0,1,0,2
51.07,Debit,Dallas,Branch,63.0,Retired,133.0,1.0,4292.16,60.0-69.0,0,2,2
435.86,Debit,Jacksonville,ATM,56.0,Retired,134.0,1.0,3801.8200000000006,50.0-59.0,0,0,0
74.73,Credit,Jacksonville,Branch,64.0,Retired,162.0,1.0,6353.22,60.0-69.0,1,2,0
182.79,Credit,Louisville,Online,23.0,Student,14.0,1.0,1251.85,20.0-29.0,0,1,0
628.36,Debit,Austin,Online,44.0,Doctor,107.99999999999999,1.0,11869.71,40.0-49.0,2,0,2
268.39,Debit,San Antonio,Online,29.0,Doctor,177.0,1.0,9409.43,20.0-29.0,1,1,1
560.15,Credit,Memphis,Online,50.0,Engineer,91.99999999999999,1.0,817.83,50.0-59.0,0,0,0
132.36,Debit,Colorado Springs,Branch,28.0,Student,160.0,1.0,319.65,20.0-29.0,0,1,2
24.77,Credit,Nashville,Online,40.0,Engineer,17.0,1.0,478.23,40.0-49.0,0,0,0
668.67,Debit,Detroit,Online,44.0,Doctor,143.0,4.0,13446.81,40.0-49.0,2,0,2
80.24,Credit,New York,Branch,53.0,Doctor,58.00000000000001,1.0,8012.810000000001,50.0-59.0,1,0,0
8.65,Debit,Mesa,ATM,68.0,Retired,198.0,1.0,4201.22,60.0-69.0,0,2,0
178.91,Debit,Omaha,ATM,18.0,Student,18.999999999999996,1.0,8870.89,10.0-19.0,1,1,1
115.22,Debit,San Francisco,Branch,27.0,Engineer,107.99999999999999,1.0,906.1999999999999,20.0-29.0,0,1,1
161.63,Debit,San Jose,Online,46.0,Doctor,276.0,1.0,9286.37,40.0-49.0,1,0,1
542.75,Credit,Nashville,Branch,70.0,Retired,63.0,1.0,2224.08,70.0-79.0,0,2,0
317.47,Credit,Sacramento,Online,67.0,Doctor,16.0,1.0,14639.28,60.0-69.0,2,2,1
280.99,Debit,Houston,Branch,45.0,Engineer,29.000000000000004,1.0,9733.59,40.0-49.0,1,0,0
24.19,Debit,San Diego,ATM,29.0,Engineer,28.0,1.0,2756.2,20.0-29.0,0,1,1
586.85,Debit,Mesa,ATM,36.0,Doctor,86.0,1.0,6655.15,30.0-39.0,1,1,0
372.41,Debit,San Diego,ATM,55.0,Retired,143.0,1.0,3233.87,50.0-59.0,0,0,1
383.69,Debit,Colorado Springs,Online,54.0,Engineer,285.0,1.0,8371.11,50.0-59.0,1,0,2
247.16999999999996,Credit,Chicago,Branch,65.0,Retired,149.0,1.0,2611.64,60.0-69.0,0,2,2
48.78,Credit,Kansas City,Branch,18.0,Student,136.0,1.0,552.06,10.0-19.0,0,1,0
4.15,Credit,Omaha,Branch,60.0,Retired,119.0,1.0,6017.36,60.0-69.0,1,2,1
60.989999999999995,Debit,Oklahoma City,Branch,34.0,Engineer,58.00000000000001,1.0,7281.46,30.0-39.0,1,1,0
408.19,Debit,Mesa,Branch,26.0,Engineer,241.0,1.0,6847.47,20.0-29.0,1,1,0
524.6,Debit,El Paso,Branch,58.0,Doctor,75.99999999999999,1.0,13017.7,50.0-59.0,2,0,2
108.96,Debit,Milwaukee,ATM,26.0,Student,247.0,1.0,7597.660000000001,20.0-29.0,1,1,0
70.03,Debit,Nashville,Branch,63.0,Retired,49.0,1.0,7330.31,60.0-69.0,1,2,0
124.84,Debit,Louisville,Online,52.0,Retired,79.0,1.0,6711.78,50.0-59.0,1,0,0
324.04,Debit,Virginia Beach,ATM,54.0,Retired,30.0,1.0,2248.06,50.0-59.0,0,0,1
39.69,Debit,Austin,Online,70.0,Retired,163.0,1.0,3524.68,70.0-79.0,0,2,2
157.7,Credit,Omaha,Branch,58.0,nan,45.99999999999999,1.0,8332.58,50.0-59.0,1,0,1
81.27,Credit,Seattle,Online,22.0,Student,68.00000000000001,1.0,1814.48,20.0-29.0,0,1,1
193.82,Debit,Kansas City,Branch,37.0,Engineer,176.0,1.0,3886.7699999999995,30.0-39.0,0,0,0
16.73,Debit,nan,Online,79.0,Retired,165.0,1.0,7591.129999999999,70.0-79.0,1,2,1
474.05,Debit,San Jose,ATM,57.0,Retired,214.0,1.0,1484.31,50.0-59.0,0,0,1
39.21,Debit,Miami,ATM,66.0,Doctor,245.0,4.0,9385.57,60.0-69.0,1,2,0
637.75,Debit,Dallas,Branch,79.0,Retired,151.99999999999997,1.0,4202.92,70.0-79.0,0,2,2
153.59,Credit,Portland,Branch,66.0,Retired,174.0,1.0,4813.12,60.0-69.0,0,2,1
186.6,Debit,Tucson,Branch,18.0,Student,139.0,1.0,9716.68,10.0-19.0,1,1,1
644.08,Debit,Atlanta,Online,24.0,Student,55.0,1.0,1980.62,20.0-29.0,0,1,2
226.66,Debit,nan,Branch,41.0,Doctor,168.00000000000003,1.0,10216.25,40.0-49.0,2,0,1
305.0,Debit,Phoenix,ATM,22.0,Student,222.0,1.0,944.83,20.0-29.0,0,1,1
233.1,Credit,Nashville,Branch,42.0,Doctor,37.0,1.0,7469.2,40.0-49.0,1,0,0
793.13,Debit,Memphis,Online,68.0,Doctor,75.99999999999999,1.0,13389.16,60.0-69.0,2,2,0
224.19,Debit,Houston,ATM,52.0,Doctor,93.0,1.0,8475.47,50.0-59.0,1,0,0
214.83,Credit,Tucson,ATM,23.0,Student,63.0,1.0,991.6899999999999,20.0-29.0,0,1,1
163.46,Credit,Baltimore,Branch,63.0,Retired,111.0,1.0,6953.8,60.0-69.0,1,2,2
194.99,Debit,Jacksonville,Branch,34.0,Engineer,91.0,1.0,1370.03,30.0-39.0,0,1,0
23.4,Debit,El Paso,ATM,46.0,Doctor,175.0,4.0,14851.28,40.0-49.0,2,0,2
227.5,Debit,Sacramento,Online,34.0,Doctor,277.0,1.0,11505.35,30.0-39.0,2,1,1
259.9,Debit,Oklahoma City,Online,26.0,Student,100.00000000000001,1.0,914.2799999999999,20.0-29.0,0,1,0
59.51,Credit,Dallas,Online,36.0,Doctor,55.0,1.0,9955.88,30.0-39.0,2,1,2
1074.95,Debit,Jacksonville,Branch,20.0,Student,91.0,1.0,530.86,20.0-29.0,0,1,0
112.94,Credit,San Antonio,Online,73.0,Retired,30.999999999999996,1.0,3807.8399999999997,70.0-79.0,0,2,1
11.81,Debit,Phoenix,ATM,21.0,Student,131.0,1.0,320.25,20.0-29.0,0,1,1
329.14,Debit,Sacramento,Branch,55.0,Doctor,14.0,1.0,12033.92,50.0-59.0,2,0,1
154.24,Debit,Mesa,ATM,61.0,Retired,82.0,1.0,6109.55,60.0-69.0,1,2,0
233.44,Debit,Chicago,Online,20.0,Student,297.0,1.0,1691.88,20.0-29.0,0,1,2
141.8,nan,Chicago,ATM,18.0,Student,116.00000000000001,1.0,1697.67,10.0-19.0,0,1,2
209.03,Debit,Detroit,Branch,55.0,Engineer,126.0,1.0,8359.5,50.0-59.0,1,0,2
1137.63,Debit,Baltimore,ATM,26.0,Student,144.0,1.0,1629.12,20.0-29.0,0,1,2
261.14,Debit,San Antonio,nan,42.0,Engineer,162.0,1.0,6100.08,40.0-49.0,1,0,1
98.71,Debit,Fort Worth,ATM,32.0,Doctor,117.0,1.0,10095.23,30.0-39.0,2,1,2
87.38,Debit,Atlanta,Branch,21.0,Student,252.0,1.0,1504.99,20.0-29.0,0,1,2
83.39,Debit,Omaha,Branch,32.0,Doctor,158.0,1.0,13182.11,30.0-39.0,2,1,1
267.55,Debit,Charlotte,Online,46.0,Engineer,40.0,1.0,4330.04,40.0-49.0,0,0,2
870.05,Debit,El Paso,ATM,29.0,Doctor,39.0,1.0,905.2499999999999,20.0-29.0,0,1,2
164.51,Debit,Louisville,Branch,78.0,Retired,110.0,1.0,3553.69,70.0-79.0,0,2,0
758.12,Debit,San Francisco,ATM,69.0,Retired,90.0,1.0,6164.65,60.0-69.0,1,2,1
103.76,Debit,Kansas City,Online,28.0,Engineer,188.0,1.0,9626.14,20.0-29.0,1,1,0
583.92,Debit,Kansas City,Online,55.0,Engineer,139.0,1.0,6364.14,50.0-59.0,1,0,0
204.06,Debit,Washington,Online,77.0,Retired,159.0,1.0,4351.83,70.0-79.0,0,2,1
53.51,Debit,New York,Online,56.0,Retired,165.0,1.0,5773.5,50.0-59.0,1,0,0
1108.46,Debit,Los Angeles,Branch,30.0,Engineer,262.0,1.0,9257.04,30.0-39.0,1,1,0
52.95,Credit,Charlotte,Online,68.0,nan,14.0,1.0,6335.58,60.0-69.0,1,2,2
120.17,Debit,Portland,ATM,49.0,Doctor,105.0,1.0,5403.79,40.0-49.0,1,0,1
220.8,Debit,Indianapolis,Online,31.0,Engineer,28.0,1.0,8135.31,30.0-39.0,1,1,0
119.01,Debit,Philadelphia,ATM,45.0,Doctor,87.0,1.0,9798.26,40.0-49.0,1,0,1
